Date,Close
3/2/2015,142.67
3/3/2015,141.68
3/4/2015,140.91
3/5/2015,141.85
3/6/2015,137.11
3/9/2015,138.71
3/10/2015,138.02
3/11/2015,139.7
3/12/2015,141.12
3/13/2015,141.72
3/16/2015,143.52
3/17/2015,143.69
3/18/2015,146.7
3/19/2015,146.4
3/20/2015,149.44
3/23/2015,150.27
3/24/2015,148.86
3/25/2015,145.75
3/26/2015,144.93
3/27/2015,145.66
3/30/2015,148.86
3/31/2015,147.21
4/1/2015,146.43
4/2/2015,148.45
4/6/2015,149.2
4/7/2015,146.12
4/8/2015,146.76
4/9/2015,142.84
4/10/2015,142.42
4/13/2015,141.02
4/14/2015,141.23
4/15/2015,139.38
4/16/2015,139.25
4/17/2015,139.02
4/20/2015,139.55
4/21/2015,140.21
4/22/2015,140.45
4/23/2015,140.27
4/24/2015,140.42
4/27/2015,140.44
4/28/2015,139.25
4/29/2015,136.68
4/30/2015,133.67
5/1/2015,135.06
5/4/2015,134.98
5/5/2015,132.5
5/6/2015,131.9
5/7/2015,134
5/8/2015,134.03
5/11/2015,132.28
5/12/2015,133.05
5/13/2015,130.98
5/14/2015,134.81
5/15/2015,136.56
5/18/2015,136.59
5/19/2015,136.51
5/20/2015,135.85
5/21/2015,135.02
5/22/2015,135.21
5/26/2015,134.55
5/27/2015,135.58
5/28/2015,135.66
5/29/2015,134.47
6/1/2015,136.45
6/2/2015,134.33
6/3/2015,132.01
6/4/2015,131.43
6/5/2015,130.39
6/8/2015,130.93
6/9/2015,129.42
6/10/2015,130.27
6/11/2015,131.4
6/12/2015,131.48
6/15/2015,131.3
6/16/2015,132.68
6/17/2015,134.06
6/18/2015,135.26
6/19/2015,133.78
6/22/2015,132.74
6/23/2015,131.61
6/24/2015,130.85
6/25/2015,129.4
6/26/2015,130.5
6/29/2015,127.84
6/30/2015,128.09
7/1/2015,130.45
7/2/2015,130.99
7/6/2015,132.59
7/7/2015,134.29
7/8/2015,134.47
7/9/2015,133.37
7/10/2015,134.06
7/13/2015,134.53
7/14/2015,134.25
7/15/2015,134.6
7/16/2015,136.55
7/17/2015,135.9
7/20/2015,136.31
7/21/2015,135.23
7/22/2015,135.55
7/23/2015,133.84
7/24/2015,134.47
7/27/2015,134.03
7/28/2015,134.99
7/29/2015,136.41
7/30/2015,136.56
7/31/2015,136.79
8/3/2015,139.05
8/4/2015,137.41
8/5/2015,136.18
8/6/2015,135.76
8/7/2015,136.61
8/10/2015,134.8
8/11/2015,135.33
8/12/2015,136.03
8/13/2015,136.56
8/14/2015,137
8/17/2015,138.16
8/18/2015,137.91
8/19/2015,136.72
8/20/2015,135.81
8/21/2015,134
8/24/2015,127.58
8/25/2015,124.96
8/26/2015,130.39
8/27/2015,133.21
8/28/2015,132.7
8/31/2015,129.08
9/1/2015,126.47
9/2/2015,127.66
9/3/2015,128.31
9/4/2015,126.27
9/8/2015,128.15
9/9/2015,126.27
9/10/2015,126.73
9/11/2015,129.36
9/14/2015,129.57
9/15/2015,131.8
9/16/2015,133.87
9/17/2015,134.62
9/18/2015,134.75
9/21/2015,136.08
9/22/2015,133.77
9/23/2015,134.33
9/24/2015,133.61
9/25/2015,134.76
9/28/2015,133.51
9/29/2015,135.19
9/30/2015,136.45
10/1/2015,135.6
10/2/2015,137.52
10/5/2015,139.61
10/6/2015,138.61
10/7/2015,141.26
10/8/2015,142.81
10/9/2015,142.03
10/12/2015,142.05
10/13/2015,141.41
10/14/2015,139.54
10/15/2015,141.55
10/16/2015,143.51
10/19/2015,145.27
10/20/2015,144.86
10/21/2015,143.51
10/22/2015,144.35
10/23/2015,143
10/26/2015,143.23
10/27/2015,143.1
10/28/2015,144.01
10/29/2015,143.58
10/30/2015,143.49
11/2/2015,147.4
11/3/2015,145.51
11/4/2015,145.22
11/5/2015,148.32
11/6/2015,144.13
11/9/2015,142.8
11/10/2015,144.29
11/11/2015,145.21
11/12/2015,143.15
11/13/2015,141.93
11/16/2015,143.51
11/17/2015,144.66
11/18/2015,146.37
11/19/2015,146.64
11/20/2015,147.24
11/23/2015,147.11
11/24/2015,145.81
11/25/2015,146.02
11/27/2015,147.9
11/30/2015,146.52
12/1/2015,147.66
12/2/2015,144.01
12/3/2015,141.59
12/4/2015,144.73
12/7/2015,144.29
12/8/2015,144.69
12/9/2015,144.23
12/10/2015,141.68
12/11/2015,142.27
12/14/2015,144.18
12/15/2015,146
12/16/2015,148.65
12/17/2015,148.46
12/18/2015,147.24
12/21/2015,147.86
12/22/2015,147.75
12/23/2015,147.67
12/24/2015,147.75
12/28/2015,149.64
12/29/2015,149.96
12/30/2015,148.13
12/31/2015,146.1
1/4/2016,144.86
1/5/2016,146.54
